generation,avg_cost,best_cost,avg_coverage,best_coverage,avg_distance,best_distance,avg_sites,min_sites,max_sites,best_sites,avg_wait_min,avg_wait_peak_min,avg_wait_normal_min,unstable_sites_count
51,198425447.34555128,22357968.177986186,284.7662751733416,284.7662751733417,1.1162839104843774,0.6773394963323895,44.61666666666667,6,112,6,,,,60
52,200820752.18508646,22357968.177986186,284.7662751733416,284.7662751733417,1.0943705795029253,0.6773394963323895,45.28333333333333,6,112,6,,,,60
53,212159056.81421015,22357968.177986186,284.7662751733416,284.7662751733417,1.0768356586591852,0.6773394963323895,47.61666666666667,6,112,6,,,,60
54,215167359.6481699,22357968.177986186,284.7662751733416,284.7662751733417,1.083179767222789,0.6773394963323895,48.15,6,112,6,,,,60
55,204700790.64010927,22357968.177986186,284.7662751733416,284.7662751733417,1.1157395170348432,0.6773394963323895,45.583333333333336,6,112,6,,,,60
56,217092640.35751542,22357968.177986186,284.7662751733416,284.7662751733417,1.0867100199723572,0.6773394963323895,48.56666666666667,6,112,6,,,,60
57,219873033.37743685,22255190.15640578,284.7662751733416,284.7662751733417,1.051762517257968,0.6773394963323895,49.36666666666667,6,112,6,,,,60
58,203914072.32905567,22255190.15640578,284.7662751733416,284.7662751733417,1.099729182755835,0.6773394963323895,46.06666666666667,6,113,6,,,,60
59,207361895.04511213,22255190.15640578,284.7662751733416,284.7662751733417,1.096719807681886,0.6773394963323895,46.516666666666666,6,113,6,,,,60
60,220276482.54155377,22255190.15640578,284.7662751733416,284.7662751733417,1.0734533702843092,0.6773394963323895,49.3,6,113,6,,,,60
61,205564620.57384184,22255190.15640578,284.7662751733416,284.7662751733417,1.0857724688243604,0.6773394963323895,46.35,6,113,6,,,,60
62,204418146.97190627,22255190.15640578,284.7662751733416,284.7662751733417,1.0977409508669647,0.6773394963323895,45.983333333333334,6,113,6,,,,60
63,222977549.84766957,22255190.15640578,284.7662751733416,284.7662751733417,1.0653122374231434,0.6773394963323895,49.85,6,114,6,,,,60
64,212963039.16271028,22255190.15640578,284.7662751733416,284.7662751733417,1.0746626984078655,0.6773394963323895,47.666666666666664,6,114,6,,,,60
65,213947173.35944822,22255190.15640578,284.7662751733416,284.7662751733417,1.0866887142982842,0.6773394963323895,47.8,6,114,6,,,,60
66,205476448.07997268,22255190.15640578,284.7662751733416,284.7662751733417,1.100456750658315,0.6773394963323895,45.9,6,114,6,,,,60
67,203763613.11946526,22255190.15640578,284.7662751733416,284.7662751733417,1.0934625931643849,0.6773394963323895,45.63333333333333,6,114,6,,,,60
68,220875986.15951863,22255190.15640578,284.7662751733416,284.7662751733417,1.0737901858710663,0.6757610201413983,49.06666666666667,6,114,6,,,,60
69,213782083.75177854,22255190.15640578,284.7662751733416,284.7662751733417,1.0858903704013239,0.6757610201413983,47.75,6,114,6,,,,60
70,204214786.69409272,22255190.15640578,284.7662751733416,284.7662751733417,1.0755689710842329,0.6757610201413983,45.833333333333336,6,114,6,,,,60
71,215580927.8851609,22255190.15640578,284.7662751733416,284.7662751733417,1.0638419901872307,0.6757610201413983,48.11666666666667,6,115,6,,,,60
72,213603957.95377722,22255190.15640578,284.7662751733416,284.7662751733417,1.0748543431602913,0.6757610201413983,47.9,6,115,6,,,,60
73,217378182.6730386,22255190.15640578,284.7662751733416,284.7662751733417,1.0906362830202514,0.6757610201413983,48.5,6,115,6,,,,60
74,221420296.4097609,22255190.15640578,284.7662751733416,284.7662751733417,1.0687059555416636,0.6757610201413983,49.55,6,115,6,,,,60
75,213223448.47028723,22255190.15640578,284.7662751733416,284.7662751733417,1.0669940383173724,0.6757610201413983,47.983333333333334,6,115,6,,,,60
76,222898274.63789666,22255190.15640578,284.7662751733416,284.7662751733417,1.0530579514519716,0.6757610201413983,49.733333333333334,6,115,6,,,,60
77,177814869.056499,22255190.15640578,284.7662751733416,284.7662751733417,1.117248472459362,0.6757610201413983,40.55,6,114,6,,,,60
78,193328136.5968422,22255190.15640578,284.7662751733416,284.7662751733417,1.1085395984887711,0.6757610201413983,43.85,6,114,6,,,,60
79,197315307.7879038,22255190.15640578,284.7662751733416,284.7662751733417,1.0975581631869025,0.6757610201413983,44.766666666666666,6,114,6,,,,60
80,194985874.34324083,22255190.15640578,284.7662751733416,284.7662751733417,1.099903205087696,0.6757610201413983,44.46666666666667,6,114,6,,,,60
81,211211997.03124583,22255190.15640578,284.7662751733416,284.7662751733417,1.0749892682556612,0.675425923978205,48.233333333333334,6,114,6,,,,60
82,214936153.5274634,22255190.15640578,284.7662751733416,284.7662751733417,1.0721592543244125,0.675425923978205,48.81666666666667,6,114,6,,,,60
83,204450825.15007603,22255190.15640578,284.7662751733416,284.7662751733417,1.1108758468923277,0.675425923978205,46.53333333333333,6,114,6,,,,60
84,211317256.80179802,22255190.15640578,284.7662751733416,284.7662751733417,1.0869707842214267,0.675425923978205,48.36666666666667,6,114,6,,,,60
85,196420899.40985563,22255190.15640578,284.7662751733416,284.7662751733417,1.102266743293986,0.675425923978205,45.21666666666667,6,114,6,,,,60
86,196456998.03950495,22255190.15640578,284.7662751733416,284.7662751733417,1.1300637151976336,0.675425923978205,44.75,6,114,6,,,,60
87,199299006.05387825,22255190.15640578,284.7662751733416,284.7662751733417,1.1098208006659709,0.675425923978205,45.46666666666667,6,114,6,,,,60
88,213626472.93594667,22255190.15640578,284.7662751733416,284.7662751733417,1.083271524356747,0.675425923978205,48.733333333333334,6,114,6,,,,60
89,195268449.76677015,22255190.15640578,284.7662751733416,284.7662751733417,1.1018200155110796,0.675425923978205,44.9,6,114,6,,,,60
90,193358008.85075337,22255190.15640578,284.7662751733416,284.7662751733417,1.111733405692467,0.675425923978205,44.516666666666666,6,114,6,,,,60
91,193625508.28840342,22255190.15640578,284.7662751733416,284.7662751733417,1.0998194842035647,0.675425923978205,44.75,6,114,6,,,,60
92,196062771.59140497,22255190.15640578,284.7662751733416,284.7662751733417,1.0955454522592865,0.675425923978205,45.25,6,114,6,,,,60
93,199067124.8882205,22255190.15640578,284.7662751733416,284.7662751733417,1.0918402911772664,0.675425923978205,45.833333333333336,6,114,6,,,,60
94,205605447.22532696,22255190.15640578,284.7662751733416,284.7662751733417,1.0972579041702304,0.675425923978205,47.083333333333336,6,117,6,,,,60
95,212007946.4414186,22255190.15640578,284.7662751733416,284.7662751733417,1.0833155266185979,0.675425923978205,48.166666666666664,6,117,6,,,,60
96,205407796.7741338,22255190.15640578,284.7662751733416,284.7662751733417,1.1010609558094884,0.675425923978205,46.86666666666667,6,117,6,,,,60
97,213805764.6235633,22255190.15640578,284.7662751733416,284.7662751733417,1.0875462928115067,0.675425923978205,48.583333333333336,6,117,6,,,,60
98,209673196.49209356,22255190.15640578,284.7662751733416,284.7662751733417,1.0820991621833682,0.675425923978205,47.86666666666667,6,117,6,,,,60
99,215610642.74925825,22255190.15640578,284.7662751733416,284.7662751733417,1.084766279836567,0.675425923978205,49.166666666666664,6,117,6,,,,60
100,182905737.76904067,22255190.15640578,284.7662751733416,284.7662751733417,1.1321786208800038,0.675425923978205,41.81666666666667,6,117,6,,,,60
101,198917188.50890452,22255190.15640578,284.7662751733416,284.7662751733417,1.1156573837467045,0.675425923978205,45.25,6,117,6,,,,60
102,203312630.64940876,22255190.15640578,284.7662751733416,284.7662751733417,1.1013625072902649,0.675425923978205,46.083333333333336,6,117,6,,,,60
103,200368197.65854874,22255190.15640578,284.7662751733416,284.7662751733417,1.1181998873202637,0.675425923978205,45.4,6,117,6,,,,60
104,200365454.04072228,22255190.15640578,284.7662751733416,284.7662751733417,1.110426448039054,0.675425923978205,45.55,6,117,6,,,,60
