site_id,location_name,latitude,longitude,demand_category,coverage_evs,density_per_km2,annual_profit_inr,price_per_kwh_inr,capacity_charging_points,setup_cost_inr,grid_upgrade_cost_inr,total_setup_cost_inr,nearest_grid_id,nearest_grid_name,grid_voltage_kv,grid_available_kw,grid_required_kw,grid_capacity_gap_kw,distance_to_grid_km,grid_capacity_ok,site_type,queue_arrival_rate_per_hour,queue_service_rate_per_charger_per_hour,queue_chargers,queue_station_capacity_K,avg_charging_time_min,avg_wait_time_min,avg_time_in_station_min,queue_Lq,queue_L,queue_P0,queue_P_block,queue_utilization
29,,22.762151576334624,75.92833819537441,High,569.53,7.2515,7116107.52,18.0,16,9546093.572709218,465800.0,10011893.572709218,30,,11.0,252.0,800.0,-548.0,1.6030314470422367,False,mall,4.746104586222367,4.0,16,,15.0,2.4627088167826976e-13,15.000000000000247,1.9480456016437702e-14,1.1865261465556114,0.3052799218991964,0.0,0.07415788415972449
31,Indigo,22.7533416,75.903384,High,1167.54,14.8656,14651020.42,18.0,6,3810078.0154213565,0.0,3810078.0154213565,13,Satya Sai Substation,132.0,36000.0,300.0,35700.0,0.7143453227824957,True,restaurant,9.72951440175586,4.0,6,,15.0,0.1777778897794333,15.177777889779435,0.02882820898204604,2.4612068094210113,0.08740538916750822,0.0,0.40539643340649417
33,Jainam food,22.7207019,75.9004597,High,1395.35,17.7662,17521463.43,18.0,6,3753559.77404411,40800.0,3794359.77404411,17,,11.0,252.0,300.0,-48.0,1.4434452945453582,False,restaurant,11.627956236244811,4.0,6,,15.0,0.424890620895899,15.4248906208959,0.08234349241613999,2.989332551477343,0.053885220032937046,0.0,0.4844981765102005
34,Prashant Restaurant,22.7206932,75.9014201,High,1347.89,17.1619,16923454.47,18.0,4,2857005.2115771035,0.0,2857005.2115771035,17,,11.0,252.0,200.0,52.0,1.5377802909177156,True,restaurant,11.232447520726279,4.0,4,,15.0,5.434303993764311,20.43430399376431,1.0173422403605141,3.8254541205420836,0.04966120747121841,0.0,0.7020279700453924
36,Saifee Hotel,22.7163833,75.8640405,High,1575.71,20.0625,19793897.48,18.0,6,3625977.1772254407,40800.0,3666777.1772254407,27,,11.0,252.0,300.0,-48.0,2.266325136179314,False,restaurant,13.130889355215226,4.0,6,,15.0,0.7726413152510309,15.772641315251033,0.16909112703048754,3.4518134658342943,0.036469604040608686,0.0,0.5471203898006344
37,Radha sanchi parler,22.6900442,75.8635677,High,1300.43,16.5576,16325445.51,18.0,8,4616939.112007658,125800.0,4742739.112007658,24,,11.0,252.0,400.0,-148.0,1.3057105489834555,False,restaurant,10.836938805207748,4.0,8,,15.0,0.020538809378489366,15.020538809378488,0.003709630339441937,2.7129443316413786,0.06655466431450284,0.0,0.3386543376627421
38,Bhojanalay and Tiffin Centre,22.7554685,75.9049511,High,1120.08,14.2613,14053011.46,18.0,6,3819661.4741466893,0.0,3819661.4741466893,13,Satya Sai Substation,132.0,36000.0,300.0,35700.0,0.987594413532678,True,restaurant,9.33400568623733,4.0,6,,15.0,0.14500941657188596,15.145009416571886,0.02255864531399902,2.3560600668733316,0.09659192367905288,0.0,0.38891690359322206
39,Kebabsville,22.7508667,75.8893939,High,1347.89,17.1619,16923454.47,18.0,4,2866580.710468241,0.0,2866580.710468241,31,,11.0,252.0,200.0,52.0,0.7317462611194947,True,restaurant,11.232447520726279,4.0,4,,15.0,5.434303993764311,20.43430399376431,1.0173422403605141,3.8254541205420836,0.04966120747121841,0.0,0.7020279700453924
40,,22.6689821,75.8815681,High,749.88,9.5478,9388541.57,18.0,6,3814829.258006107,0.0,3814829.258006107,9,Indore SZ,220.0,54000.0,300.0,53700.0,0.8800039396341638,True,restaurant,6.249037705192787,4.0,6,,15.0,0.01934123210723571,15.019341232107235,0.002014401478383355,1.5642738277765802,0.20959408466059407,0.0,0.26037657104969947
41,ATKT cafe,22.7180111,75.9055138,High,1177.03,14.9865,14770622.21,18.0,8,4671756.261006603,125800.0,4797556.261006603,17,,11.0,252.0,400.0,-148.0,1.904287728642817,False,restaurant,9.808616144859567,4.0,8,,15.0,0.01088265826712664,15.010882658267125,0.0017790636262987967,2.45393309984119,0.08608769441448384,0.0,0.30651925452686146
42,JAM,22.624972996516842,75.79225492835195,Medium,80.76,1.0283,840170.7,18.0,4,3136872.495869126,0.0,3136872.495869126,25,,11.0,252.0,200.0,52.0,3.2169152873124407,True,restaurant,0.5953512087014433,4.0,4,,15.0,7.128035988131062e-05,15.000071280359881,7.072808068668691e-07,0.1488385094561677,0.8617087474976424,0.0,0.03720945054384021
49,D. K. Restaurant,22.6727602,75.8759284,High,977.7,12.4484,12258984.58,18.0,6,3793685.0858169487,112200.0,3905885.0858169487,5,,11.0,168.0,300.0,-132.0,1.5624866220951765,False,restaurant,8.147479539681736,4.0,6,,15.0,0.0740105174351214,15.074010517435122,0.0100499862753985,2.0469198711958327,0.13022080222936938,0.0,0.3394783141534057
50,Saifee Restaurant,22.7160939,75.8641447,High,1575.71,20.0625,19793897.48,18.0,6,3626859.8544353847,40800.0,3667659.8544353847,27,,11.0,252.0,300.0,-48.0,2.270896219970349,False,restaurant,13.130889355215226,4.0,6,,15.0,0.7726413152510309,15.772641315251033,0.16909112703048754,3.4518134658342943,0.036469604040608686,0.0,0.5471203898006344
51,Matargasti,22.690985505012776,75.8630842692797,High,1309.92,16.6785,16445047.3,18.0,4,2813027.8255604673,0.0,2813027.8255604673,24,,11.0,252.0,200.0,52.0,1.3172171946285238,True,restaurant,10.916040548311454,4.0,4,,15.0,4.738896094168797,19.738896094168798,0.8621663653030226,3.5911765023808866,0.055207839989532353,0.0,0.6822525342694659
