site_id,location_name,latitude,longitude,demand_category,coverage_evs,density_per_km2,annual_profit_inr,price_per_kwh_inr,capacity_charging_points,setup_cost_inr,grid_upgrade_cost_inr,total_setup_cost_inr,nearest_grid_id,nearest_grid_name,grid_voltage_kv,grid_available_kw,grid_required_kw,grid_capacity_gap_kw,distance_to_grid_km,grid_capacity_ok,site_type
39,Kebabsville,22.7508667,75.8893939,High,700.28,8.9162,3857490.84,10.22,4,2866580.710468241,0.0,2866580.710468241,31,,11.0,252.0,200.0,52.0,0.7317462611194947,True,restaurant
40,,22.6689821,75.8815681,Medium,51.25,0.6525,135787.72,10.0,6,3814829.258006107,0.0,3814829.258006107,9,Indore SZ,220.0,54000.0,300.0,53700.0,0.8800039396341638,True,restaurant
41,ATKT cafe,22.7180111,75.9055138,High,515.85,6.568,2825769.6,10.22,4,2871756.261006603,0.0,2871756.261006603,17,,11.0,252.0,200.0,52.0,1.904287728642817,True,restaurant
43,Apna Punjabi Dhaba,22.6634724,75.8834208,High,374.0,4.762,1959620.34,10.0,6,3837159.075398531,112200.0,3949359.075398531,5,,11.0,168.0,300.0,-132.0,0.28758046659939857,False,restaurant
47,Jash Garden Restaurant,22.75433265371991,75.90697477080838,High,568.03,7.2324,3117658.17,10.22,6,3822606.0313256048,40800.0,3863406.0313256048,30,,11.0,252.0,300.0,-48.0,0.9233192200257274,False,restaurant
48,vijayshree sandwhcih,22.7568097,75.8868026,High,608.31,7.7452,3342982.83,10.22,6,3778557.400761253,40800.0,3819357.400761253,31,,11.0,252.0,300.0,-48.0,0.07287826574999345,False,restaurant
52,MY Kitchen Restaurant,22.7562278,75.9051644,High,569.74,7.2541,3127232.48,10.22,4,2922137.4244840657,0.0,2922137.4244840657,13,Satya Sai Substation,132.0,36000.0,200.0,35800.0,1.060897995370172,True,restaurant
56,Kesarlal,22.6702374,75.881027,Medium,53.21,0.6774,146643.69,10.0,6,3809574.2937102295,0.0,3809574.2937102295,9,Indore SZ,220.0,54000.0,300.0,53700.0,1.0286049869341602,True,restaurant
57,Annapurna Restaurent,22.6564519,75.8072339,High,423.05,5.3865,2224493.33,10.0,6,3905343.3197396733,40800.0,3946143.3197396733,25,,11.0,252.0,300.0,-48.0,1.9909798882660446,False,restaurant
59,Panna Restaurant & Sweets,22.6729012,75.880289,Medium,60.08,0.765,186737.95,10.0,4,2899019.231995377,0.0,2899019.231995377,9,Indore SZ,220.0,54000.0,200.0,53800.0,1.326135387622109,True,restaurant
60,Rajesh Restuarant,22.715395979526058,75.84172402296178,High,168.12,2.1405,847826.56,10.0,4,2759640.2075001826,0.0,2759640.2075001826,27,,11.0,252.0,200.0,52.0,0.3311311338424497,True,restaurant
61,"Vairagi Chef ""Cakes and Street Food""",22.689820373079204,75.86347200318302,High,193.12,2.4589,982862.09,10.0,6,3717735.103958559,40800.0,3758535.103958559,24,,11.0,252.0,300.0,-48.0,1.2853127688402017,False,restaurant
64,Primus Lounge,22.7277475,75.8049536,Low,47.99,0.611,118275.59,10.0,4,2891982.195400133,0.0,2891982.195400133,27,,11.0,252.0,200.0,52.0,4.195213049415403,True,restaurant
65,Sai prasad,22.7177775,75.8695959,High,345.2,4.3953,1825718.05,10.07,4,2743289.688002563,0.0,2743289.688002563,17,,11.0,252.0,200.0,52.0,1.7856080775836165,True,restaurant
66,Hunger Pangzzz,22.756232988760942,75.90519471311372,High,569.76,7.2544,3127346.68,10.22,8,4722233.834274011,0.0,4722233.834274011,13,Satya Sai Substation,132.0,36000.0,400.0,35600.0,1.0635371741031834,True,restaurant
67,Pitchers Cafebar,22.7443446,75.8920419,High,649.1,8.2646,3571186.18,10.22,4,2856427.887338266,0.0,2856427.887338266,13,Satya Sai Substation,132.0,36000.0,200.0,35800.0,0.8251182300797053,True,restaurant
70,Pind balluchi,22.7559532,75.8941344,High,726.24,9.2468,4002748.05,10.22,6,3792663.144311687,40800.0,3833463.144311687,31,,11.0,252.0,300.0,-48.0,0.7051814006157817,False,restaurant
74,Nafees,22.7257453,75.8883492,High,440.54,5.6092,2346525.4,10.07,4,2812592.691806946,0.0,2812592.691806946,17,,11.0,252.0,200.0,52.0,0.9864054619625867,True,restaurant
