generation,best_cost,avg_cost,worst_cost,best_coverage,avg_coverage,worst_coverage,best_distance,avg_distance,worst_distance,avg_sites,min_sites,max_sites
107,13805939.330364756,107749546.65483405,355844250.9694979,215.77140382528768,192.38118233990116,69.58251954162215,0.7275121967535302,1.234001248260126,2.501258815888528,25.16,5.0,76.0
108,13805939.330364756,110640789.23469679,355844250.9694979,215.77140382528768,192.38118233990116,69.58251954162215,0.7275121967535302,1.2176333938696189,2.501258815888528,25.82,5.0,76.0
109,13805939.330364756,109745930.25121751,355844250.9694979,215.77140382528768,192.38118233990116,69.58251954162215,0.7275121967535302,1.2269874180824698,2.501258815888528,25.58,5.0,76.0
110,13805939.330364756,102746782.32629508,355844250.9694979,215.77140382528768,186.53362696855453,69.58251954162215,0.7275121967535302,1.2697158881173676,2.501258815888528,24.08,5.0,76.0
111,13805939.330364756,103029381.1140621,355844250.9694979,215.77140382528768,186.53362696855456,69.58251954162215,0.7275121967535302,1.267086450182716,2.501258815888528,24.04,5.0,76.0
112,13805939.330364756,107651967.02112742,355844250.9694979,215.77140382528768,186.53362696855456,69.58251954162215,0.7275121967535302,1.2739867595761447,2.501258815888528,24.88,5.0,76.0
113,13805939.330364756,111281046.57041323,355844250.9694979,215.77140382528768,192.38118233990116,69.58251954162215,0.7275121967535302,1.2382679271773407,2.501258815888528,25.58,5.0,76.0
114,13805939.330364756,112622338.25038858,355844250.9694979,215.77140382528768,192.38118233990116,69.58251954162215,0.7275121967535302,1.2364628263908055,2.501258815888528,25.76,5.0,76.0
115,13805939.330364756,109288937.05740924,355844250.9694979,215.77140382528768,189.45740465422787,69.58251954162215,0.7275121967535302,1.2409134263252561,2.501258815888528,25.18,5.0,76.0
116,13805939.330364756,108291164.16965553,355844250.9694979,215.77140382528768,189.45740465422787,69.58251954162215,0.7275121967535302,1.240556572864802,2.501258815888528,25.0,5.0,76.0
117,13805939.330364756,100787945.76502785,355844250.9694979,215.77140382528768,189.45740465422787,69.58251954162215,0.7275121967535302,1.265100185664763,2.501258815888528,23.52,5.0,76.0
118,13805939.330364756,104476547.46064164,355844250.9694979,215.77140382528768,189.45740465422787,69.58251954162215,0.7275121967535302,1.2542375380784572,2.501258815888528,24.3,5.0,76.0
119,13805939.330364756,109452113.30220824,355844250.9694979,215.77140382528768,186.53362696855453,69.58251954162215,0.7275121967535302,1.2526618156443128,2.501258815888528,25.34,5.0,76.0
120,13805939.330364756,107286531.63938203,355844250.9694979,215.77140382528768,183.60984928288127,69.58251954162215,0.7275121967535302,1.2418724915701176,2.501258815888528,24.92,5.0,76.0
121,13805939.330364756,102894790.50494698,355844250.9694979,215.77140382528768,186.53362696855456,69.58251954162215,0.7275121967535302,1.2626411569534806,2.501258815888528,24.0,5.0,76.0
